,precision,recall,f1-score,support
Inrow_Soil,0.75,0.6,0.6666666666666665,10.0
Rhizosphere,0.75,0.6428571428571429,0.6923076923076924,28.0
Root,0.9259259259259259,0.8928571428571429,0.9090909090909091,28.0
Soil,0.8,0.8,0.8000000000000002,15.0
Stalk,0.5517241379310345,0.7272727272727273,0.6274509803921569,22.0
accuracy,0.7475728155339806,0.7475728155339806,0.7475728155339806,0.7475728155339806
macro avg,0.7555300127713922,0.7325974025974027,0.7391032496914851,103.0
weighted avg,0.7627558928195018,0.7475728155339806,0.7505800881015045,103.0
