,precision,recall,f1-score,support
Inrow_Soil,0.5,0.6,0.5454545454545454,10.0
Rhizosphere,0.7368421052631579,1.0,0.8484848484848484,28.0
Root,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0
Soil,0.7272727272727273,0.5333333333333333,0.6153846153846153,15.0
Stalk,1.0,0.6363636363636364,0.7777777777777778,22.0
accuracy,0.8058252427184466,0.8058252427184466,0.8058252427184466,0.8058252427184466
macro avg,0.7856801093643199,0.7467965367965368,0.7502775002775002,103.0
weighted avg,0.8304919403539741,0.8058252427184466,0.8014951607184616,103.0
