,precision,recall,f1-score,support
Inrow_Soil,1.0,0.4,0.5714285714285715,10.0
Rhizosphere,0.6538461538461539,0.6071428571428571,0.6296296296296297,28.0
Root,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0
Soil,0.7222222222222222,0.8666666666666667,0.7878787878787877,15.0
Stalk,0.5925925925925926,0.7272727272727273,0.6530612244897959,22.0
accuracy,0.7475728155339806,0.7475728155339806,0.7475728155339806,0.7475728155339806
macro avg,0.7865893365893366,0.7130735930735931,0.7212567855424997,103.0
weighted avg,0.768719055126822,0.7475728155339806,0.743004311658958,103.0
