HeatedSqFt,Acres,SalePrice
1639,0.44,117000
1638,1.63,170000
1626,0.2,299000
1626,0.2,165000
1621,0.04,150000
1620,0.34,380000
1620,0.25,290000
1614,1.1,128900
1612,0.35,293000
1612,0.16,122000
1609,0.4,232000
1605,2.09,189500
1600,0.58,136000
1597,4.75,203700
1596,0.33,152000
1591,0.25,349000
1591,0.25,185000
1590,0.36,283550
1584,0.24,131000
1580,0.89,150500
1576,5.94,148500
1574,0.34,161000
1573,0.2,255000
1565,0.34,180000
1560,0.12,120000
1559,0.32,275000
1558,1,134000
1557,0.14,188000
1546,1,130000
1539,0.41,173400
1538,0.3,200000
1537,0.37,360000
1537,0.49,300000
1537,0.49,195000
1536,0.12,176000
1535,0.19,335000
1534,0.23,209000
1534,0.23,148000
1534,0.23,148000
1533,0.33,158000
1529,0.29,183000
1528,0.28,242000
1519,0.14,200000
1517,0.27,191500
1512,0.14,300000
1512,0.12,167205
1512,0.12,120000
1500,0.19,327500
1500,0.17,195000
1494,0.19,183000
1488,0.38,170000
1464,0.25,132500
1463,0.42,230000
1450,2.79,344162
1447,0.29,255000
1440,2.05,135788
1438,0.63,167000
1432,0.29,220000
1419,0.22,209000
1415,0.37,210000
1412,0.11,210000
1408,0.22,200000
1407,0.23,211500
1404,2.24,140000
1398,0.28,125000
1394,0.36,150000
1392,0.54,131000
1392,0.26,125000
1389,0.17,190000
1383,0.27,215000
1380,0.19,121000
1377,0.03,142000
1377,0.12,111500
1375,0.14,205000
1372,1.17,110000
1366,0.34,219500
1366,0.38,156500
1364,0.32,155000
1356,0.12,154787
1351,0.17,220000
1346,29.05,110000
1333,0.39,179000
1331,0.46,225000
1328,0.17,175000
1323,0.31,135000
1320,0.31,141000
1317,0.6,209000
1316,0.3,118000
1313,0.05,214000
1308,0.22,150000
1305,0.49,162500
1302,0.31,146200
1302,0.23,119000
1300,0.33,183000
1300,0.44,115000
1296,0.57,129900
1294,0.34,274000
1294,0.34,265000
1292,0.16,175000
1286,0.2,233000
1285,0.03,141500
1282,0.26,166000
1281,0.27,113000
1280,0.23,190000
1276,0.43,162000
1276,0.39,150000
1272,0.35,280000
1270,0.72,111750
1269,0.5,121900
1253,0.11,135000
1252,0.35,117500
1250,0.42,172000
1248,0.23,112000
1242,0.35,178000
1232,0.3,167000
1232,0.2,161500
1226,0.24,253900
1224,0.03,144000
1224,0.2,136551
1224,0.32,112000
1220,0.26,138500
1206,0.17,265000
1200,0.61,325000
1196,12.65,325000
1193,0.27,132500
1188,0.59,475000
1187,0.34,120000
1176,0.28,115000
1170,0.86,595000
1170,1.33,130000
1162,0.03,115000
1160,0.68,175000
1160,0.68,127000
1153,0.24,145000
1152,0.12,135000
1151,0.33,199900
1145,0.31,200000
1144,0.23,221000
1134,0.24,136000
1133,0.27,122185
1125,0.38,188000
1120,0.32,160000
1120,0.35,132400
1111,0.37,235000
1111,0.25,139000
1102,0.16,144000
1096,8.11,550000
1088,0.12,156000
1088,0.29,138000
1080,0.31,174600
1078,0.25,207500
1070,0.02,230000
1064,0.31,196000
1060,0.23,475000
1056,0.73,135000
1055,0.34,245000
1053,0.23,157000
1053,0.18,131250
1050,22,269900
1040,2.35,730000
1040,1.82,730000
1031,0.02,230000
1025,0.27,129500
1015,0.21,172500
1008,0.52,380000
1008,0.33,380000
1001,0.27,147500
1000,0.15,204000
